지역구분,년,작목군,작목,구분,값
강원,2020,노지채소,노지고랭지배추,노동생산성,32375.0
강원,2020,노지채소,노지고랭지배추,자본생산성,0.89
강원,2020,노지채소,노지고랭지배추,kg당 경영비,268.0
강원,2020,노지채소,노지고랭지배추,kg당 생산비,361.0
강원,2020,노지채소,노지구마늘,총수입,5374119.0
강원,2020,노지채소,노지구마늘,주산물가액,5086333.0
강원,2020,노지채소,노지구마늘,부산물가액,287786.0
강원,2020,노지채소,노지구마늘,주산물수량,1036.0
강원,2020,노지채소,노지구마늘,수취가격,4911.0
강원,2020,노지채소,노지구마늘,생산비,4422374.0
강원,2020,노지채소,노지구마늘,경영비,2364389.0
강원,2020,노지채소,노지구마늘,중간재비,2095831.0
강원,2020,노지채소,노지구마늘,보통(무기질)비료비,93996.0
강원,2020,노지채소,노지구마늘,부산물(유기질)비료비,200564.0
강원,2020,노지채소,노지구마늘,농약비,78085.0
강원,2020,노지채소,노지구마늘,수도광열비,31442.0
강원,2020,노지채소,노지구마늘,기타재료비,56212.0
강원,2020,노지채소,노지구마늘,소농구비,0.0
강원,2020,노지채소,노지구마늘,대농구상각비,189607.0
강원,2020,노지채소,노지구마늘,영농시설상각비,86064.0
강원,2020,노지채소,노지구마늘,수리·유지비,0.0
강원,2020,노지채소,노지구마늘,기타비용,0.0
강원,2020,노지채소,노지구마늘,농기계·시설임차료,7250.0
강원,2020,노지채소,노지구마늘,토지임차료,61245.0
강원,2020,노지채소,노지구마늘,위탁영농비,0.0
강원,2020,노지채소,노지구마늘,고용노동비,200063.0
강원,2020,노지채소,노지구마늘,자가노동비,1800393.0
